Dataset,SSL_Model,Architecture,Seed,Correlation_with_Label,Correlation_with_Prediction,Correlation_with_Probability
edaic,wavlm-base-plus,Bi-GRU + Attention,13,0.17122718922843838,0.2551057186947482,0.2628577871378032
edaic,wavlm-base-plus,Bi-GRU + Attention,42,0.17122718922843838,0.04420266175697403,0.04913094163422821
edaic,wavlm-base-plus,Bi-GRU + Attention,87,0.17122718922843838,0.025761612767590703,0.1761281921922038
edaic,wavlm-base-plus,Transformer Encoder,13,0.17122718922843838,0.2159158452308429,0.3884777118044678
edaic,wavlm-base-plus,Transformer Encoder,42,0.17122718922843838,,0.3983979740057349
edaic,wavlm-base-plus,Transformer Encoder,87,0.17122718922843838,,0.28184360907260786
edaic,w2v2-robust,Bi-GRU + Attention,13,0.17122718922843838,0.631081342741939,0.6325544488365995
edaic,w2v2-robust,Bi-GRU + Attention,42,0.17122718922843838,0.631081342741939,0.6318221079641948
edaic,w2v2-robust,Bi-GRU + Attention,87,0.17122718922843838,0.631081342741939,0.632518068755619
edaic,w2v2-robust,Transformer Encoder,13,0.17122718922843838,-0.09290473458669635,-0.2600883045304807
edaic,w2v2-robust,Transformer Encoder,42,0.17122718922843838,,0.1764717270711381
edaic,w2v2-robust,Transformer Encoder,87,0.17122718922843838,,0.1916472896352801
modma,wavlm-base-plus,Bi-GRU + Attention,13,0.07994487246150028,-0.36500083184442533,-0.3658785574176884
modma,wavlm-base-plus,Bi-GRU + Attention,42,0.07994487246150028,,-0.2401899152110955
modma,wavlm-base-plus,Bi-GRU + Attention,87,0.07994487246150028,,-0.714419612789802
modma,wavlm-base-plus,Transformer Encoder,13,0.07994487246150028,-0.36500083184442533,-0.3668400519998271
modma,wavlm-base-plus,Transformer Encoder,42,0.07994487246150028,,-0.373035313794899
modma,wavlm-base-plus,Transformer Encoder,87,0.07994487246150028,,-0.565445265524403
modma,w2v2-robust,Bi-GRU + Attention,13,0.07994487246150028,,0.505705856509577
modma,w2v2-robust,Bi-GRU + Attention,42,0.07994487246150028,,0.48663878146294715
modma,w2v2-robust,Bi-GRU + Attention,87,0.07994487246150028,,0.49900105644120935
modma,w2v2-robust,Transformer Encoder,13,0.07994487246150028,,
modma,w2v2-robust,Transformer Encoder,42,0.07994487246150028,,-0.6358780053018426
modma,w2v2-robust,Transformer Encoder,87,0.07994487246150028,,-0.2811596219758592
